#POSITIVE_LEXICON	STRENGTH-ASSIGNED
entranced	0.2
entrancement	0.5
entrancing	0.5
entreatingly	0.4
entrust	0.4
entrusted	0.3
enured	0.4
environ	0.2
environment-friendly	0.9
envision	0.3
ephemeris	0.3
epic	1
epitome	0.4
equal	0.1
equality	0.6
equally	0.2
equitably	0.3
equity	0.2
erect	0.5
erectile	0.4
ergonomic	0.7
ergonomical	0.7
ergonomically	0.5
ergonomicly	0.7
erotic	0.4
erotically	0.7
errand	0.2
erudite	0.3
eruditely	0.5
eruditeness	0.5
espn	0.3
esprit	0.1
essential	0.3
established	0.4
esteem	0.4
esteemed	0.6
esthetic	0.5
eternal	0.2
eternally	0.2
eternity	0.2
ethereally	0.3
ethic	0.4
ethical	0.4
ethically	0.4
ethics	0.4
eulogize	0.3
euphoria	1
euphoric	1
euphorically	1
euphuism	0.3
eupnea	0.2
european	0.2
euthenics	0.2
evaluative	0.4
even-tempered	0.2
eventful	0.5
ever-evolving	0.3
evergreen	0.1
evergreens	0.1
everlasting	0.7
ever-wonderful	0.7
evident	0.2
evidently	0.2
evocative	0.8
evoke	0.1
evolution	0.3
exact	0.2
exalt	0.3
exaltation	0.4
exalted	0.6
exaltedly	0.5
exalting	0.6
exaltingly	0.4
examplar	0.8
examplary	0.6
excallent	0.3
exceeded	0.4
exceeding	0.3
exceeds	0.2
excel	0.6
excelent	0.5
excelled	0.6
excellence	1
excellent	1
excels	0.6
exceptional	0.9
exceptionaly	1
exchange	0.1
excitable	0.8
excitation	0.3
excited	0.9
excitedly	0.4
excitedness	0.7
excitement	0.7
excites	0.7
exciting	0.7
exclusive	0.3
exclusively	0.4
exculpatory	0.1
excusable	0.1
exegete	0.1
exellent	1
exemplary	0.4
exemplify	0.4
exercise	0.1
exertion	0.1
exhaustively	0.2
exhibitionism	0.4
exhilarate	0.6
exhilarated	0.5
exhilarates	0.9
exhilarating	1
exhilaratingly	0.9
exhilaration	0.9
exhortation	0.3
exhortative	0.5
existence	0.1
exited	1
exonerate	0.6
exonerated	0.5
exonerates	0.6
exonerating	0.8
exotic	1
expansive	0.3
expansiveness	0.3
expecting	0.2
expeditious	0.4
expeditiously	0.4
experienced	0.6
experise	0.3
expertise	0.7
expertly	0.4
expertness	0.6
expiable	0.4
expiatory	0.4
explicitly	0.1
exploration	0.1
exploring	0.4
exquisite	0.9
exquisitely	0.9
extends	0.1
extensive	0.3
extensively	0.1
extol	0.5
extoll	0.4
extraordinarily	0.8
extraordinary	1
extravagance	1
extricate	0.3
exuberant	0.5
exult	0.4
exultant	0.4
exultantly	0.3
exultingly	0.6
eyecatch	0.6
eye-catch	0.8
eyecatching	0.8
eye-catching	0.5
eyeful	0.7
eye-popping	0.8
fabulous	1
fabulously	1
facebook	0.2
facetiousness	0.3
faculty	0.1
fain	0.3
fair	0.1
fairly	0.1
fairness	0.2
faith	0.2
faithful	0.4
faithfully	0.4
faithfulness	0.7
fallon	1
fame	0.3
famed	0.7
family	0.2
famous	0.6
famously	0.3
fan	0.2
fancier	0.6
fanciful	0.6
fancifully	0.8
fancify	0.6
fancinating	1
fancy	0.7
fanfare	0.3
fans	0.3
fantastic	1
fantastically	1
fantasy	0.3
farsighted	0.1
fascinate	0.9
fascinated	1
fascinates	0.7
fascinating	1
fascination	0.9
fashion	0.4
fashionable	0.8
fashionably	0.6
fast-cooking	0.3
faster	0.4
fastest	0.7
fastest-growing	0.4
fast-growing	0.4
fathom	0.5
fav	0.9
fave	1
faves	1
favorable	0.6
favorableness	0.6
favorably	0.8
favored	0.4
favorite	0.8
favorited	0.6
favorites	0.8
favoritism	0.5
favors	0.5
favour	0.5
favourably	0.6
favoured	0.8
favourite	1
favourites	0.7
favours	0.3
favs	1
fb	0.2
fc	1
fearless	0.4
fearlessly	0.5
fearlessness	0.2
feasible	0.3
feast	0.2
feat	0.2
featly	0.3
feature-packed	0.8
feature-rich	0.3
fecundity	0.4
feelings	0.1
feisty	0.2
felicitate	0.4
felicitous	0.7
felicitously	0.7
felicity	0.7
fervently	0.2
fervid	0.2
fervidly	0.2
fervor	0.2
fest	0.6
festive	0.6
festivity	0.6
fetish	0.4
ff	0.2
fiery	0.4
finally	0.2
finaly	0.3
fine	0.4
fine-dining	0.6
fineness	0.4
finery	0.1
finest	1
fireball	0.1
fireproof	0.3
firmer	0.2
firmly	0.2
first-class	1
first-in-class	0.6
first-rate	0.8
fit	0.6
fitspiration	1
fitter	0.7
fittingly	0.3
five-diamond	1
five-star	1
fixture	0.1
flagship	0.2
flamboyance	0.6
flame	0.2
flamingo	0.2
flashy	0.4
flat-panel	0.1
flatter	0.7
flatteringly	0.8
flavored	0.2
flavorful	0.5
flawless	1
flawlessly	1
fleek	1
flexibility	0.2
flexible	0.4
flexibly	0.5
flicker-free	0.4
flickr	0.2
flirt	0.9
flirtatious	0.9
flirtatiously	0.9
flourish	0.7
flourishing	0.9
flow	0.1
flowery	0.8
flylady	1
focused	0.4
followfriday	1
followin	0.6
fond	0.7
fondly	0.8
foodporn	1
football	0.2
footy	0.2
forbearance	0.2
fore	0.1
forefathers	0.3
foregoing	0.1
foremost	0.4
forerunner	0.2
foresee	0.3
foreseen	0.3
foresight	0.2
forgave	0.2
forgivable	0.3
forgive	0.2
forgiven	0.1
forgiveness	0.2
forgiving	0.2
forgivingly	0.3
forgivingness	0.1
formality	0.1
formative	0.2
formidable	0.3
formidably	0.3
forthcoming	0.5
fortify	0.2
fortress	0.2
fortuitously	0.3
fortunate	0.3
fortunately	0.4
forwardness	0.3
foster	0.2
found	0.1
foundation	0.3
four-way	0.1
fragrant	0.4
frameless	0.2
frank	0.4
frankness	0.3
fraternal	0.2
free	0.3
freebie	0.5
freed	0.3
freedom	0.6
freedoms	0.6
freely	0.4
free-spirited	0.6
freewill	0.2
frequent	0.1
fresh	0.5
freshen	0.3
freshener	0.3
fresher	0.4
freshest	0.7
freshly	0.5
freshly-squeezed	0.6
freshness	0.5
friend	0.5
friendfeed	0.4
friendliness	0.6
friendly	0.6
friends	0.4
friendship	0.5
friendster	1
frisky	0.3
frolic	0.1
frugal	0.2
fruitful	0.7
fruitfulness	0.7
fruition	0.3
ftw	1
fuckingamazing	1
fuckingbeautiful	1
fuckinggreat	1
fulfill	0.3
fulfilled	0.7
fulfills	0.4
full-featured	0.7
fullness	0.6
full-service	0.9
functional	0.3
functionally	0.3
fun-filled	0.7
funn	1
funnier	0.7
funniest	1
funnn	1
funny	0.5
fusion	0.1
futurestic	0.8
futurisitic	0.6
futuristic	0.6
fuzzball	0.8
fyi	0.2
gaiety	0.5
gained	0.2
gallantly	0.4
game-changing	0.7
gandhi	0.5
gangsta	0.2
garden	0.1
garnet	0.1
garnish	0.2
garrison	0.1
gawd	0.2
gazette	0.1
geekier	0.3
gem	0.7
gems	0.4
general	0.2
generate	0.1
generosity	0.6
generous	0.7
generously	0.5
genial	0.3
genious	0.5
genteel	0.2
gentle	0.4
gentlefolk	0.3
gentleman	0.5
gentlemanlike	0.7
gentleness	0.4
gentlest	0.5
gently	0.4
gentry	0.2
genuine	0.7
genuinely	0.7
genuineness	0.7
geranium	0.1
germ-free	0.6
gesture	0.2
gf	0.6
gift	0.5
gifted	0.8
giggle	0.3
girder	0.2
girlfriend	0.2
girlies	0.5
girly	0.3
giveaway	0.5
gl	1
glad	0.7
gladden	0.7
gladdened	0.7
gladly	0.7
gladness	0.7
gladsome	0.7
glamor	0.6
glamorization	0.6
glamorize	0.6
glamorous	1
glamourous	1
glare	0.2
glaze	0.2
gleam	0.2
gleaming	0.5
glee	0.5
gleeful	0.6
gleefully	0.8
glide	0.4
glimmer	0.5
glisten	0.6
glitz	0.5
globally	0.4
glorification	0.7
glorify	0.7
glorious	0.8
gloriously	0.8
glory	0.7
glossy	0.2
glow	0.2
glowing	0.3
glowingly	0.4
gmorning	0.6
gnight	0.6
gnite	0.8
go-ahead	0.3
goat	0.4
god-given	0.4
godlike	0.9
godliness	0.5
godly	0.5
godspeed	0.4
gold	0.4
golden	0.6
goldmine	0.6
good	0.5
goodbye	0.1
goodie	1
good-intentioned	0.4
goodish	0.2
goodlooking	0.8
goodluck	1
goodly	0.5
goodmorning	0.4
goodness	0.6
goodnight	0.8
goodnite	0.6
goods	0.2
goodsex	1
gooo	0.5
goood	1
goooo	1
gooood	1
goooood	1
gooooood	1
gorgeous	1
gorgeously	1
gotcha	0.4
gr8	0.9
grabbing	0.2
grace	0.8
graceful	0.8
gracefully	0.8
gracefulness	0.8
gracile	0.8
gracious	0.8
graciously	0.8
graciousness	0.8
gradually	0.2
graduate	0.4
graduating	1
graduation	0.5
grail	0.1
grand	0.8
grandchildren	0.4
grandiose	0.6
grandly	0.6
grandmother	0.4
granted	0.3
grateful	0.8
gratefully	0.9
gratification	0.8
gratified	0.5
gratifies	0.5
gratifying	0.8
gratifyingly	0.5
gratitude	0.8
great	0.7
greater	0.4
greatest	0.8
greathearted	0.8
greatly	0.8
greatness	0.8
green	0.4
greet	0.4
greeted	0.5
greeting	0.4
greetings	0.6
greets	0.5
grin	0.3
grind	0.4
grinding	0.4
gripping	0.2
grist	0.3
grit	0.2
groom	0.3
groomed	0.1
groovy	0.8
groundbreaking	1
groundwork	0.1
growing	0.2
grown-up	0.4
growth	0.1
growths	0.1
grrrr	0.8
grrrrr	0.2
grrrrrr	0.3
gt	0.7
gta	0.2
gtgt	0.3
guard	0.1
guardian	0.2
gud	0.8
gue	0.2
guessed	0.2
guidebook	0.4
guiltless	0.2
gumption	0.3
guru	0.4
gusto	0.8
guts	0.4
gutsiness	0.7
gutsy	0.8
gymnast	0.3
haa	0.4
habibi	1
habitat	0.1
hah	0.4
haha	0.2
hahaha	1
hahahah	0.8
hahahahah	1
hahahahaha	1
hahahahahaha	1
hai	0.6
hailed	0.5
hajj	0.3
halal	0.3
half-price	0.7
hallelujah	1
hallmark	0.3
hallmarks	0.4
halloween	0.3
handily	0.4
handiness	0.4
handmade	0.3
handpicked	0.8
handsome	0.9
handsomely	1
handsomeness	0.8
hand-written	0.2
handy	0.4
hanker	0.4
happier	0.9
happiest	1
happily	0.8
happiness	0.8
happy	0.8
hardier	0.2
hardworking	0.7
harmless	0.2
harmonic	0.4
harmonious	1
harmoniously	0.9
harmonizable	0.4
harmonize	0.7
harmony	0.5
haven	0.3
hawt	1
hd	0.8
heal	0.1
healing	0.1
health	0.2
healthful	0.4
healthfulness	0.4
healthy	0.5
heart	0.4
heartening	0.4
heartfelt	0.3
hearth	0.1
heartily	0.8
heartwarming	0.9
hearty	0.4
heaven	0.8
heavenly	1
heavens	0.8
heavenward	0.7
heavy-duty	0.3
hee	0.8
heehee	1
heey	0.4
heh	0.3
hehe	1
heheh	0.8
hehehe	0.8
hehehehe	1
helmet	0.1
help	0.1
helped	0.4
helper	0.2
helpful	0.4
helpfully	0.3
helpfulness	0.4
helping	0.3
helps	0.2
herbal	0.1
herculean	0.9
hero	0.8
heroes	0.8
heroic	0.9
heroically	0.8
heroics	0.9
heroine	0.9
heroism	0.9
heroize	0.4
heya	0.6
heyday	0.3
heyyy	0.8
heyyyy	0.8
hi5	0.6
hicky	0.8
highest	0.5
highlight	0.3
high-profile	0.5
high-quality	1
high-resolution	0.5
high-spirited	0.7
high-up	0.7
hihi	1
hii	0.6
hiii	0.8
hilarious	0.8
hi-larious	0.9
hilariously	0.8
hilarity	0.7
hip	0.6
hire	0.1
historic	0.1
hit-making	1
hittin	0.2
hiya	0.6
hmm	0.2
hmmm	0.4
hobby	0.1
hola	0.5
holiday	0.5
holy	0.5
homage	0.2
home-cooked	0.4
homeee	0.4
homegrown	0.4
homely	0.6
home-made	0.4
homeslice	0.4
homey	0.8
homie	0.5
homology	0.4
hon	0.5
honest	0.6
honesty	0.5
honey	0.4
honeycomb	0.4
honeymoon	0.4
honor	0.6
honorable	0.7
honorableness	0.7
honorably	0.7
honored	0.9
honoree	0.6
honorific	0.7
honoring	0.7
honour	0.6
honoured	0.8
honouring	0.7
hoodie	0.4
hookup	0.3
hooo	0.8
hooray	1
hoot	0.6
hope	0.2
hopeful	0.5
hopefully	0.3
hopefulness	0.3
hopes	0.5
hopin	0.6
hoping	0.7
hopingnerve	0.2
hopping	0.8
hoppusday	0.2
horniness	0.4
horny	0.4
hospitality	0.6
hot	0.8
hotcake	0.4
hotcakes	0.3
hotness	0.8
hott	1
hotter	1
hottest	1
hottie	1
hottish	0.6
household	0.1
housekeeping	0.3
hug	0.8
hugely	0.2
hugged	1
huggles	1
hugh	0.2
hugs	1
huhu	0.8
humane	0.4
humanistic	0.2
humanists	0.2
humanitarian	0.3
humanity	0.2
humankind	0.1
humble	0.6
humbled	0.6
humbleness	0.7
humbly	0.7
humerous	0.5
humility	0.4
humor	0.4
humorist	0.4
humorous	0.5
humorously	0.5
humour	0.3
humourous	0.6
hung	0.1
hungover	0.2
hunk	0.8
hunny	1
hurray	1
hurrying	0.1
hw	0.2
hymn	0.2
hyped	1
hyperkinetic	0.2
hypnotic	0.7
hypnotically	0.7
icon	0.4
iconic	0.7
ideal	0.8
idealism	0.4
idealist	0.5
idealize	0.5
idealized	0.5
ideally	0.7
idol	0.3
idolize	1
idolized	1
ihop	0.4
ikr	0.1
illuminate	0.4
illuminating	0.9
illumination	0.2
illumine	0.3
illustrious	0.6
ilove	1
iloveyou	1
ilu	0.1
imaculate	0.3
imagination	0.4
imaginatively	0.2
imagine	0.1
imaginitive	0.5
imaginitively	0.4
immaculate	0.7
immediately	0.3
immense	0.4
immortal	0.5
immune	0.4
immunize	0.4
impact	0.1
impartial	0.1
impartiality	0.3
impartially	0.1
impassioned	0.7
impeccability	0.4
impeccable	0.4
impeccably	0.4
impeccant	0.2
impel	0.3
imperative	0.3
impervious	0.2
impetus	0.3
importance	0.6
important	0.9
impress	0.6
impressed	1
impressive	0.7
impressively	0.7
impressiveness	0.7
improve	0.5
improved	0.5
improvement	0.5
improves	0.5
improving	0.5
improvise	0.3
incentive	0.2
incisive	0.3
incisively	0.6
inclinations	0.1
included	0.1
including	0.2
income	0.1
incorrupt	0.1
incorruptible	0.2
incredible	0.8
incredibly	0.4
indefatigable	0.2
indelibly	0.4
in-demand	0.8
independence	0.4
independent	0.2
independently	0.2
in-depth	0.5
indescribable	0.6
indescribably	0.6
indestructible	0.3
indigenous	0.2
indispensability	0.5
indispensabilty	0.5
indispensable	0.8
indisputable	0.5
individuality	0.1
indomitably	0.2
indubitable	0.3
indubitably	0.5
indulge	0.6
indulgence	0.6
indulgent	0.6
indulgently	0.9
industrious	0.2
industry-standard	0.4
inerrable	0.2
inestimable	1
inestimably	0.9
inexpensive	0.6
inexpensively	0.4
inexpensiveness	0.4
infallible	0.4
infallibly	0.2
infant	0.2
infatuate	0.9
infatuated	1
infatuation	0.9
infer	0.1
infinitely	0.3
infinity	0.4
influence	0.3
information	0.1
infront	0.2
ingenious	1
ingeniously	0.8
ingenuity	0.5
ingenuous	0.4
ingenuously	1
ingenuousness	0.4
ingratiate	0.5
ingratiating	0.2
inherit	0.2
inheritance	0.1
innocence	0.1
innocent	0.1
innocently	0.1
innocuously	0.5
innovate	0.7
innovates	0.4
innovation	0.3
innovative	0.4
innovatively	0.6
innovativeness	0.4
inoffensive	0.1
inpressed	0.7
inquiry	0.1
inquisitive	0.2
in-room	0.1
inseparable	0.2
insightful	0.7
insightfully	0.7
insightfulness	0.5
insignia	0.2
insistence	0.2
insistent	0.2
insistently	0.2
inspiration	0.7
inspirational	0.8
inspired	1
inspires	0.6
inspiring	0.9
instantly	0.2
instinctive	0.3
instruct	0.2
instruction	0.2
instructional	0.2
instructor	0.1
instrumental	0.4
insure	0.1
intangible	0.2
integrity	0.6
intellectual	0.4
intellectually	0.4
intelligence	0.5
intelligent	1
intelligently	0.6
intensely	0.4
intensity	0.3
intercede	0.2
intercourse	0.4
interested	0.7
interesting	0.8
interestingly	0.5
interests	0.4
interference-free	0.2
interior	0.1
interlocutory	0.3
interlude	0.2
international-gourmet	0.2
interpose	0.2
intimacy	0.5
intimately	0.4
intoxicating	1
intrepid	0.2
intricate	0.3
intrigue	0.6
intrigues	0.3
intriguing	0.9
intriguingly	0.6
introduced	0.3
introducing	0.2
introspect	0.2
introspection	0.2
introspective	0.2
introspectiveness	0.2
introvert	0.1
intuitive	0.1
in-tune	0.5
invaluable	0.6
invaluablely	0.6
invaluableness	0.5
invariably	0.2
invented	0.5
inventive	0.3
inventively	0.1
inventiveness	0.5
investigate	0.1
invigorate	0.5
invigorating	0.7
invincibility	0.5
invincible	0.9
inviolable	0.2
inviolate	0.3
invisible	0.4
invitation	0.1
invite	0.2
invulnerable	0.4
iphones	0.2
iplayer	0.2
irl	0.2
irrefutably	0.3
irreplaceable	0.7
irreproachable	0.1
irresistible	1
irresistibly	1
issue-free	0.4
itouch	0.2
itunes	0.2
jackpot	0.7
jammin	1
jam-packed	0.1
jauntily	0.3
jaw-droping	1
jaw-dropping	1
jaw-droppingly	0.9
jazz	0.2
jazzy	0.2
jenna	0.3
jewel	0.3
jewelry	0.3
jingle	0.3
jocular	0.2
join	0.3
jointly	0.1
jokes	0.1
joking	0.2
jollify	0.9
jolly	0.6
joy	0.7
joyful	0.7
joyous	0.7
joyously	0.7
jubilant	0.3
jubilantly	0.5
jubilate	0.7
juicy	0.5
jump	0.1
justice	0.2
justifiable	0.2
justifiably	0.2
justification	0.2
justified	0.2
justify	0.2
justly	0.2
justness	0.2
keen	0.2
keenly	0.3
keenness	0.5
keepin	0.2
keepsake	0.2
kemp	0.4
ken	0.1
kewl	0.9
kewt	1
keyless	0.3
keynote	0.1
keystone	0.5
kickass	1
kickin	0.4
kicky	0.1
kidding	0.5
kiddo	0.4
kid-friendly	0.7
kind	0.7
kinder	0.7
kindliness	0.7
kindly	0.7
kindness	0.7
kindred	0.3
king	0.4
kink	0.5
kiss	1
kissed	1
knack	0.1
knowledge	0.3
knowledgeability	0.6
knowledgeable	0.6
knoww	0.2
kool	1
koran	0.3
koranic	0.3
kosher	0.3
kreme	0.4
kudos	1
l8r	0.2
labor	0.2
ladylike	0.5
ladylikeness	0.5
laid-back	0.2
lake-view	0.1
large-capacity	0.2
larger-than-life	1
lark	0.5
laser	0.1
lasting	0.6
lastingness	0.6
latent	0.2
laudably	0.3
laughed	0.1
laughhave	1
laugh-out-loud	0.4
laughter	0.1
laughting	0.1
launched	0.3
laurels	0.4
lavender	0.1
lavish	0.2
lavishly	0.2
lavishness	0.2
lawful	0.1
lawfully	0.4
lawfulness	0.1
leader	0.2
leadership	0.3
leading	0.2
league	0.3
leah	0.2
lean	0.7
learned	0.2
learning	0.3
leather-wrapped	0.2
leavin	0.2
lecturer	0.1
led	0.1
legalization	0.2
legalize	0.2
legalized	0.2
legend	0.7
legendary	1
legibility	0.3
legible	0.4
legibly	0.2
legit	0.7
legitimacy	0.2
legitimate	0.2
legitimately	0.2
legitimation	0.2
legitmacy	0.4
leisure	0.6
leisurely	0.9
lenience	0.4
lenient	0.4
leniently	0.5
less-expensive	0.6
lesson	0.1
lettered	0.2
liberalism	0.3
liberally	0.4
liberation	0.4
liberty	0.5
lifeblood	0.2
lifehack	0.6
lifelike	0.4
lighten	0.4
lighter	0.4
lighthearted	0.6
light-hearted	0.5
lightning-fast	0.4
lightweight	0.2
light-weight	0.2
lik	0.8
likable	0.6
likeable	0.7
liked	0.6
likers	0.5
likey	1
liking	0.4
limousine	0.4
limpid	0.3
linguist	0.1
lionhearted	0.8
lionize	0.8
listenable	0.3
lit	1
liveable	0.3
liveliness	0.7
lively	0.8
liven-up	0.8
lmao	1
lmaoo	1
lmfao	1
logical	0.4
logicality	0.4
logically	0.3
lol	0.4
lolol	1
lololol	1
lolololol	1
lolz	1
longevity	0.5
long-lasting	0.5
long-standing	0.6
lool	1
loool	1
looool	1
looooove	1
loooove	1
looove	1
loove	1
lotus-like	0.1
lov	1
lovable	1
lovably	1
love	1
loveable	1
loved	1
lovee	1
loveee	1
loveeee	1
lovelies	1
loveliness	1
lovely	1
lovemaking	1
lovequot	1
lover	0.8
loves	1
lovesick	1
lovesickness	1
loveyou	1
lovin	1
loving	1
lovingly	1
lovingness	1
low-abrasive	0.2
low-cost	0.4
lower-cost	0.3
lower-priced	0.6
low-price	0.3
low-priced	0.8
low-risk	0.2
low-speed	0.2
loyal	0.6
loyalty	0.5
lt3	0.5
lt333	0.6
ltlt	0.2
luaus	0.2
lucid	0.4
lucidity	0.4
lucidly	0.4
lucious	0.8
luck	0.2
luckier	0.6
luckiest	1
luckily	0.2
luckiness	0.5
lucky	0.5
lucrative	0.4
luminosity	0.4
luminous	0.8
luscious	0.6
lusciously	0.8
lush	0.2
luster	0.4
lustily	0.5
lustrous	0.8
luv	1
luxuriance	0.6
luxuriant	1
luxuriantly	0.7
luxuriate	0.7
luxurious	1
luxuriously	1
luxury	0.8
lvatt	0.2
lyk	1
lyre	0.2
lyrical	0.2
lyrically	0.4
lyricism	0.3
magic	0.3
magical	0.5
magically	0.6
magnanimous	0.6
magnanimously	0.4
magnetism	0.2
magnetite	0.2
magnificence	0.8
magnificent	1
magnificently	0.5
maiden	0.1
mainstay	0.1
majestic	0.8
majestically	0.8
majesty	0.4
majorly	0.4
makeover	0.4
makeup	0.4
mami	0.7
manageable	0.2
manageably	0.2
maneuverable	0.2
manhood	0.2
mani	0.5
manifest	0.1
manifestation	0.1
manifested	0.1
manna	0.3
mannered	0.6
manners	0.4
mannn	0.2
marital	0.1
marketable	0.3
marquis	0.2
marriage	0.2
marry	0.2
marvel	0.4
marveled	0.2
marvellous	1
marvelous	1
marvelously	1
marvelousness	0.9
marvels	0.3
masculine	0.6
massage	0.4
masterchef	0.8
masterful	0.8
masterfully	0.9
masterly	1
mastermind	0.5
masterpiece	0.9
masterpieces	1
masters	0.2
mastery	0.6
mate	0.2
matrimony	0.2
matters	0.1
mature	0.2
maturity	0.2
maximize	0.3
mayor	0.3
mcflyforgermany	0.4
meadow	0.2
meaningfulness	0.2
measured	0.1
meaty	0.5
medal	0.8
mediate	0.1
mediation	0.1
mediator	0.1
meditate	0.4
meditative	0.2
mediterranean	0.1
medley	0.4
meed	0.5
meetup	1
mega-star	0.9
mega-success	1
mellow	0.2
mellowness	0.2
melodic	0.4
melodious	0.3
melody	0.3
memento	0.2
memorabilia	0.3
memorability	0.5
memorable	0.8
memorably	0.5
memorialize	0.5
memories	0.5
mending	0.4
ment	0.4
mentor	0.4
merch	0.6
mercifully	0.1
merge	0.1
merit	0.4
merited	0.4
meritocracy	0.1
meritocratic	0.1
meritorious	0.4
meritoriously	0.4
merriment	0.4
merriness	0.8
merry	0.9
mesmerize	0.9
mesmerized	1
mesmerizes	1
mesmerizing	1
mesmerizingly	0.9
methinks	0.2
methodical	0.1
methodically	0.2
meticulous	0.4
meticulously	0.4
mets	0.2
mettle	0.3
microscopy	0.1
microsoft	0.2
midwifery	0.3
might	0.3
mightily	0.4
milestone	0.3
miley	0.2
millionaire	0.8
mime	0.1
mind-blowing	0.8
mindful	0.2
mindfulness	0.2
mint	0.8
miracle	0.7
miraculous	1
miraculously	0.8
miraculousness	1
mirin	1
mirth	0.9
mirthful	0.4
mirthfully	0.2
missin	0.2
missteps	0.2
mmmm	1
mmmmmm	1
mobilize	0.2
moderately-priced	0.2
moderator	0.1
modern	0.5
moderne	0.5
modernity	0.4
modernization	0.4
modernize	0.4
modernized	0.4
modernizes	0.2
modernizing	0.6
modest	0.2
modestly	0.2
modesty	0.2
mollify	0.3
momentous	0.5
momentousness	0.5
momentum	0.2
monarchal	0.6
monetary	0.3
moneymaker	0.5
moneymaking	0.4
monies	0.6
monumentally	0.3
moonlight	0.2
moral	0.5
morale	0.5
morality	0.5
moralization	0.5
moralize	0.5
moralizing	0.5
morally	0.5
morals	0.5
mornin	0.6
motherhood	0.4
motivate	0.5
motivated	0.6
motivating	0.6
motivation	0.5
motivational	0.6
motivative	0.6
motive	0.1
mouth-watering	0.7
mtg	0.2
mtv	0.2
muah	1
muahaha	0.9
muahh	1
much-admired	0.8
mucho	0.5
much-used	0.2
mug	0.1
muh	1
multi-dimensional	0.3
multi-faceted	0.3
multi-purpose	0.4
multitask	0.3
multi-task	0.3
multitasking	0.4
multi-tasking	0.4
munchies	0.4
munificence	0.4
muscular	0.7
muse	0.2
muser	0.2
music	0.4
musical	0.4
musicality	0.4
musically	0.5
musingly	0.2
must-have	0.7
mutual	0.3
mwah	1
mystic	0.3
mystical	0.3
mystically	0.2
nap	0.1
ncis	0.2
near-classic	0.2
near-cult	0.1
neat	0.4
neatly	0.3
necessarily	0.2
necessary	0.4
negociate	0.3
negotiable	0.1
negotiate	0.1
negotiator	0.1
neighborliness	0.4
neighborly	0.4
nestle	0.1
netflix	0.4
newest	1
newly	0.6
nic	1
nice	0.6
nice-looking	0.7
nicely	0.7
nicely-finished	0.6
nicely-tuned	0.8
niceness	0.7
nicer	0.6
nice-sounding	0.7
nicest	0.8
niche	0.1
nifty	0.6
nighty	0.8
nimble	0.2
nintendo	0.2
nite	0.4
nkotb	0.8
nobelist	0.8
nobility	0.8
noble	0.8
noblest	1
nobly	0.8
no-holds-barred	0.2
nom	1
nominate	0.2
nomination	0.5
nonchalantly	0.3
non-corrosive	0.2
non-proprietary	0.2
non-slip	0.4
non-smoking	0.1
non-stick	0.3
non-sticks	0.2
non-traditional	0.2
non-violence	0.1
nostalgically	0.4
notable	0.6
notables	0.6
noteable	0.5
noteworthy	0.6
noticeable	0.4
noticeablely	0.7
noticeably	0.4
notion	0.2
nourish	0.4
nourishing	0.7
nourishment	0.6
novel	0.4
novelty	0.5
noww	0.2
nowww	0.3
nsfw	0.8
nuances	0.1
nurse	0.1
nurture	0.5
nurturing	0.4
nutella	1
nuthin	0.2
nutrient	0.3
nutrify	0.3
nutriment	0.3
nutrition	0.3
nutritional	0.3
nutritious	0.8
nutritiousness	0.3
nyc	0.2
nyt	0.4
obedience	0.1
obedient	0.1
obediently	0.1
obey	0.1
obliged	0.1
obsessed	0.5
obtainable	0.2
obviate	0.2
oc	0.2
occupant	0.1
ofcourse	0.4
offbeat	0.3
offer	0.2
officially	0.3
og	1
ogle	0.5
ogler	0.4
ohhhh	0.2
ok	0.1
okay	0.1
oks	0.2
olympia	0.4
olympian	0.4
omg	0.8
omgg	0.4
ominous	0.6
omniscient	0.4
once-in-a-lifetime	1
onset	0.1
onward	0.4
oohh	0.3
ooo	0.2
oooh	0.5
oooo	0.4
ooooh	0.2
ooooo	1
oooooh	1
op	0.2
openhearted	0.6
openness	0.3
opera	0.3
operational	0.2
opportune	0.3
opportunely	0.3
opportuneness	0.3
opportunism	0.3
opportunist	0.3
opportunity	0.3
optimally	0.6
optimism	0.9
optimist	0.6
optimistic	0.7
optimistically	0.8
optimization	0.4
optimize	0.5
optimum	0.6
optionally	0.1
opulent	0.4
oration	0.4
orchestra	0.4
orchestration	0.4
orchid	0.3
orderliness	0.4
orderly	0.4
organized	0.4
organizing	0.2
orgasm	1
orgasmic	1
orgasmically	1
originality	0.4
ornamented	0.6
ornate	0.4
oscar-winning	1
oscarworthy	1
osx	0.2
otherworldly	0.1
outcome	0.2
outdone	0.3
outdoors	0.1
outgoing	0.4
outlive	0.2
outperform	0.5
outperformed	0.8
outperforming	0.5
outperforms	0.5
outreach	0.3
outright	0.4
outrun	0.4
outset	0.1
outshine	0.6
outshone	0.3
outsmart	0.4
outstanding	0.3
outstandingly	0.9
outstrip	0.1
outt	0.2
outward	0.2
outwardness	0.3
outwit	0.2
oven-proof	0.3
overabundance	0.3
overachieve	0.6
overachievement	0.7
overachiever	0.7
overcome	0.2
overcompensation	0.3
overcredulous	0.1
overdress	0.4
overdrive	0.4
overenthusiastic	0.7
overestimate	0.1
overfed	0.2
overjoy	1
overjoyed	1
overshoot	0.1
overtake	0.4
overtakes	0.2
